cluster,song_type,count,fraction,rms_mean,aci_mean,dom_species,dom_purity
0,Aggressive Song,11,0.014492753623188406,0.04959153011441231,508.837890625,Oecanthuspellucens,1.0
1,Aggressive Song,19,0.025032938076416336,0.019057318568229675,537.2034912109375,Oecanthuspellucens,1.0
2,Aggressive Song,12,0.015810276679841896,0.045626237988471985,588.31884765625,Grylluscampestris,1.0
3,Aggressive Song,13,0.017127799736495388,0.022017300128936768,501.6967468261719,Oecanthuspellucens,1.0
4,Aggressive Song,11,0.014492753623188406,0.018354518339037895,505.8480529785156,Oecanthuspellucens,1.0
5,Aggressive Song,21,0.02766798418972332,0.01929575391113758,510.1746520996094,Oecanthuspellucens,1.0
6,Quiet/Background,11,0.014492753623188406,0.006539634894579649,496.05645751953125,Nemobiussylvestris,1.0
7,Calling Song,16,0.021080368906455864,0.005739076063036919,517.3450927734375,Grylluscampestris,0.625
8,Quiet/Background,21,0.02766798418972332,0.0009314751368947327,513.1387329101562,Nemobiussylvestris,1.0
9,Aggressive Song,14,0.01844532279314888,0.08080019056797028,682.9534912109375,Grylluscampestris,1.0
10,Aggressive Song,20,0.026350461133069828,0.03032323159277439,528.2003173828125,Oecanthuspellucens,0.65
11,Quiet/Background,16,0.021080368906455864,0.0010537159396335483,475.29681396484375,Nemobiussylvestris,1.0
12,Quiet/Background,21,0.02766798418972332,0.017387783154845238,481.1961364746094,Nemobiussylvestris,0.6190476190476191
13,Quiet/Background,14,0.01844532279314888,0.00770776579156518,504.0871887207031,Chorthippusbiguttulus,1.0
14,Quiet/Background,18,0.023715415019762844,0.004615514073520899,509.2750244140625,Chorthippusbiguttulus,0.6111111111111112
15,Quiet/Background,14,0.01844532279314888,0.0005702707567252219,470.3263244628906,Nemobiussylvestris,1.0
16,Quiet/Background,26,0.034255599472990776,0.0005001441459171474,467.7149963378906,Nemobiussylvestris,1.0
17,Aggressive Song,18,0.023715415019762844,0.05530180409550667,588.7780151367188,Grylluscampestris,1.0
18,Aggressive Song,23,0.030303030303030304,0.05938297137618065,596.8803100585938,Grylluscampestris,1.0
19,Quiet/Background,12,0.015810276679841896,0.006631836760789156,488.909912109375,Nemobiussylvestris,0.75
20,Quiet/Background,36,0.04743083003952569,0.001357473898679018,489.4422302246094,Nemobiussylvestris,1.0
21,Quiet/Background,17,0.022397891963109356,0.0012211186112836003,494.865966796875,Nemobiussylvestris,1.0
22,Quiet/Background,11,0.014492753623188406,0.015119838528335094,510.8811340332031,Chorthippusbiguttulus,0.9090909090909091
23,Quiet/Background,16,0.021080368906455864,0.017913956195116043,506.70306396484375,Chorthippusbiguttulus,1.0
24,Calling Song,23,0.030303030303030304,0.008200308308005333,576.0498657226562,Pseudochorthippusparallelus,0.5217391304347826
25,Calling Song,38,0.05006587615283267,0.008145037107169628,567.2136840820312,Chorthippusbrunneus,0.6052631578947368
26,Calling Song,13,0.017127799736495388,0.0018985082861036062,515.3115844726562,Pseudochorthippusparallelus,0.38461538461538464
27,Courtship/Low,18,0.023715415019762844,0.0007123478571884334,573.3246459960938,Tettigoniaviridissima,0.2777777777777778
28,Courtship/Low,19,0.025032938076416336,0.0009639469208195806,554.0318603515625,Pholidopteragriseoaptera,0.631578947368421
29,Courtship/Low,22,0.028985507246376812,0.000898228376172483,570.1431884765625,Nemobiussylvestris,0.45454545454545453
30,Calling Song,13,0.017127799736495388,0.007608241867274046,536.6935424804688,Tettigoniaviridissima,1.0
31,Quiet/Background,17,0.022397891963109356,0.0003897943824995309,491.5445861816406,Chorthippusbrunneus,0.35294117647058826
32,Calling Song,18,0.023715415019762844,0.010234770365059376,530.426025390625,Chorthippusbiguttulus,0.6111111111111112
33,Calling Song,17,0.022397891963109356,0.008999807760119438,575.1937866210938,Pseudochorthippusparallelus,0.4117647058823529
34,Calling Song,15,0.019762845849802372,0.008533413521945477,546.0684204101562,Tettigoniaviridissima,1.0
35,Calling Song,10,0.013175230566534914,0.0017186306649819016,522.2905883789062,Pseudochorthippusparallelus,0.5
36,Calling Song,29,0.03820816864295125,0.005347448401153088,555.0802612304688,Pholidopteragriseoaptera,0.3103448275862069
