file,species,segment,start_s,cluster
Chorthippusbiguttulus/Chorthippusbiguttulus_CHOBIG_20190906_163909.M.wav,Chorthippusbiguttulus,0,0.0,28
Chorthippusbiguttulus/Chorthippusbiguttulus_CHOBIG_20190906_163909.M.wav,Chorthippusbiguttulus,1,2.5,28
Chorthippusbiguttulus/Chorthippusbiguttulus_CHOBIG_20190906_163909.M.wav,Chorthippusbiguttulus,2,5.0,29
Chorthippusbiguttulus/Chorthippusbiguttulus_CHOBIG_20190906_164243.M.wav,Chorthippusbiguttulus,0,0.0,28
Chorthippusbiguttulus/Chorthippusbiguttulus_CHOBIG_20190906_164243.M.wav,Chorthippusbiguttulus,1,2.5,29
Chorthippusbiguttulus/Chorthippusbiguttulus_CHOBIG_20190906_164243.M.wav,Chorthippusbiguttulus,2,5.0,29
Chorthippusbiguttulus/Chorthippusbiguttulus_NoID_20210729_115824.M.wav,Chorthippusbiguttulus,0,0.0,26
Chorthippusbiguttulus/Chorthippusbiguttulus_NoID_20210729_115824.M.wav,Chorthippusbiguttulus,1,2.5,26
Chorthippusbiguttulus/Chorthippusbiguttulus_NoID_20210729_115824.M.wav,Chorthippusbiguttulus,2,5.0,26
Chorthippusbiguttulus/Chorthippusbiguttulus_NoID_20210729_115824.M.wav,Chorthippusbiguttulus,3,7.5,33
Chorthippusbiguttulus/Chorthippusbiguttulus_NoID_20210729_115824.M.wav,Chorthippusbiguttulus,4,10.0,31
Chorthippusbiguttulus/Chorthippusbiguttulus_Take07.M.wav,Chorthippusbiguttulus,0,0.0,23
Chorthippusbiguttulus/Chorthippusbiguttulus_Take07.M.wav,Chorthippusbiguttulus,1,2.5,-1
Chorthippusbiguttulus/Chorthippusbiguttulus_Take22.wav,Chorthippusbiguttulus,0,0.0,13
Chorthippusbiguttulus/Chorthippusbiguttulus_Take22.wav,Chorthippusbiguttulus,1,2.5,13
Chorthippusbiguttulus/Chorthippusbiguttulus_Take22.wav,Chorthippusbiguttulus,2,5.0,13
Chorthippusbiguttulus/Chorthippusbiguttulus_Take22.wav,Chorthippusbiguttulus,3,7.5,32
Chorthippusbiguttulus/Chorthippusbiguttulus_Take22.wav,Chorthippusbiguttulus,4,10.0,-1
Chorthippusbiguttulus/Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,0,0.0,22
Chorthippusbiguttulus/Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,1,2.5,22
Chorthippusbiguttulus/Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,2,5.0,22
Chorthippusbiguttulus/Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,3,7.5,22
Chorthippusbiguttulus/Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,4,10.0,22
Chorthippusbiguttulus/Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,5,12.5,36
Chorthippusbiguttulus/Chorthippusbiguttulus_Take91.wav,Chorthippusbiguttulus,0,0.0,13
Chorthippusbiguttulus/Chorthippusbiguttulus_Take91.wav,Chorthippusbiguttulus,1,2.5,13
Chorthippusbiguttulus/Chorthippusbiguttulus_Take91.wav,Chorthippusbiguttulus,2,5.0,13
Chorthippusbiguttulus/Chorthippusbiguttulus_Take91.wav,Chorthippusbiguttulus,3,7.5,32
Chorthippusbiguttulus/Chorthippusbiguttulus_Take91.wav,Chorthippusbiguttulus,4,10.0,31
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-018.M.wav,Chorthippusbiguttulus,0,0.0,14
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-018.M.wav,Chorthippusbiguttulus,1,2.5,14
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-018.M.wav,Chorthippusbiguttulus,2,5.0,32
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-018.M.wav,Chorthippusbiguttulus,3,7.5,36
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-020.M.wav.M.wav,Chorthippusbiguttulus,0,0.0,23
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-020.M.wav.M.wav,Chorthippusbiguttulus,1,2.5,32
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-020.M.wav.M.wav,Chorthippusbiguttulus,2,5.0,-1
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-053.M.wav,Chorthippusbiguttulus,0,0.0,22
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-053.M.wav,Chorthippusbiguttulus,1,2.5,22
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-053.M.wav,Chorthippusbiguttulus,2,5.0,32
Chorthippusbiguttulus/Chorthippusbiguttulus_dat001-053.M.wav,Chorthippusbiguttulus,3,7.5,36
Chorthippusbiguttulus/Chorthippusbiguttulus_dat003-040.M.wav,Chorthippusbiguttulus,0,0.0,23
Chorthippusbiguttulus/Chorthippusbiguttulus_dat003-040.M.wav,Chorthippusbiguttulus,1,2.5,-1
Chorthippusbiguttulus/Chorthippusbiguttulus_dat003-040.M.wav,Chorthippusbiguttulus,2,5.0,23
Chorthippusbiguttulus/Chorthippusbiguttulus_dat003-040.M.wav,Chorthippusbiguttulus,3,7.5,32
Chorthippusbiguttulus/Chorthippusbiguttulus_dat003-040.M.wav,Chorthippusbiguttulus,4,10.0,36
Chorthippusbiguttulus/Chorthippusbiguttulus_dat005-025.M.wav,Chorthippusbiguttulus,0,0.0,23
Chorthippusbiguttulus/Chorthippusbiguttulus_dat005-025.M.wav,Chorthippusbiguttulus,1,2.5,23
Chorthippusbiguttulus/Chorthippusbiguttulus_dat005-025.M.wav,Chorthippusbiguttulus,2,5.0,-1
Chorthippusbiguttulus/Chorthippusbiguttulus_dat005-056.M.wav,Chorthippusbiguttulus,0,0.0,14
